gen,strategy,rms,max_pct,noble_rms,halogen_rms,mono_breaks,n_above_20,elapsed_s,is_best
1,Explore,0,0,0,0,0,0,0.341985,0
2,Refine,0,0,0,0,0,0,0.50175,0
3,Block,0,0,0,0,0,0,0.375423,0
4,Shell,0,0,0,0,0,0,0.349122,0
5,Weighted,0,0,0,0,0,0,0.34311,0
6,Fresh,0,0,0,0,0,0,0.31611,0
7,Explore,0,0,0,0,0,0,0.323046,0
8,Refine,0,0,0,0,0,0,0.502009,0
9,Block,0,0,0,0,0,0,0.336565,0
10,Shell,0,0,0,0,0,0,0.341774,0
11,Weighted,0,0,0,0,0,0,0.326344,0
12,Fresh,0,0,0,0,0,0,0.339914,0
13,Explore,0,0,0,0,0,0,0.341353,0
14,Refine,0,0,0,0,0,0,0.510229,0
15,Block,0,0,0,0,0,0,0.358203,0
16,Shell,0,0,0,0,0,0,0.342983,0
17,Weighted,0,0,0,0,0,0,0.355426,0
18,Fresh,0,0,0,0,0,0,0.317016,0
19,Explore,0,0,0,0,0,0,0.346665,0
20,Refine,0,0,0,0,0,0,0.525306,0
21,Block,0,0,0,0,0,0,0.342116,0
22,Shell,0,0,0,0,0,0,0.341853,0
23,Weighted,0,0,0,0,0,0,0.321808,0
24,Fresh,0,0,0,0,0,0,0.319634,0
25,Explore,0,0,0,0,0,0,0.311146,0
26,Refine,0,0,0,0,0,0,0.491043,0
27,Block,0,0,0,0,0,0,0.341349,0
28,Shell,0,0,0,0,0,0,0.342612,0
29,Weighted,0,0,0,0,0,0,0.318993,0
30,Fresh,0,0,0,0,0,0,0.311905,0
31,Explore,0,0,0,0,0,0,0.327014,0
32,Refine,0,0,0,0,0,0,0.49278,0
33,Block,0,0,0,0,0,0,0.345136,0
34,Shell,0,0,0,0,0,0,0.343403,0
35,Weighted,0,0,0,0,0,0,0.318595,0
36,Fresh,0,0,0,0,0,0,0.324484,0
37,Explore,0,0,0,0,0,0,0.329669,0
38,Refine,0,0,0,0,0,0,0.507587,0
39,Block,0,0,0,0,0,0,0.339757,0
40,Shell,0,0,0,0,0,0,0.339601,0
41,Weighted,0,0,0,0,0,0,0.322013,0
42,Fresh,0,0,0,0,0,0,0.336572,0
43,Explore,0,0,0,0,0,0,0.376792,0
44,Refine,0,0,0,0,0,0,0.564051,0
45,Block,0,0,0,0,0,0,0.346255,0
46,Shell,0,0,0,0,0,0,0.343179,0
47,Weighted,0,0,0,0,0,0,0.314774,0
48,Fresh,0,0,0,0,0,0,0.370237,0
49,Explore,0,0,0,0,0,0,0.330773,0
50,Refine,0,0,0,0,0,0,0.48783,0
51,Block,0,0,0,0,0,0,0.338038,0
52,Shell,0,0,0,0,0,0,0.348121,0
53,Weighted,0,0,0,0,0,0,0.331423,0
54,Fresh,0,0,0,0,0,0,0.347872,0
55,Explore,0,0,0,0,0,0,0.359615,0
56,Refine,0,0,0,0,0,0,0.524696,0
57,Block,0,0,0,0,0,0,0.342439,0
58,Shell,0,0,0,0,0,0,0.337395,0
59,Weighted,0,0,0,0,0,0,0.326898,0
60,Fresh,0,0,0,0,0,0,0.298724,0
61,Explore,0,0,0,0,0,0,0.335865,0
62,Refine,0,0,0,0,0,0,0.501577,0
63,Block,0,0,0,0,0,0,0.358638,0
64,Shell,0,0,0,0,0,0,0.343054,0
65,Weighted,0,0,0,0,0,0,0.383755,0
66,Fresh,0,0,0,0,0,0,0.335251,0
67,Explore,0,0,0,0,0,0,0.315861,0
68,Refine,0,0,0,0,0,0,0.49793,0
69,Block,0,0,0,0,0,0,0.382839,0
70,Shell,0,0,0,0,0,0,0.365229,0
71,Weighted,0,0,0,0,0,0,0.357562,0
72,Fresh,0,0,0,0,0,0,0.334666,0
73,Explore,0,0,0,0,0,0,0.3063,0
74,Refine,0,0,0,0,0,0,0.523397,0
75,Block,0,0,0,0,0,0,0.339642,0
76,Shell,0,0,0,0,0,0,0.339053,0
77,Weighted,0,0,0,0,0,0,0.317719,0
78,Fresh,0,0,0,0,0,0,0.406773,0
79,Explore,0,0,0,0,0,0,0.338171,0
80,Refine,0,0,0,0,0,0,0.525688,0
81,Block,0,0,0,0,0,0,0.354619,0
82,Shell,0,0,0,0,0,0,0.349994,0
83,Weighted,0,0,0,0,0,0,0.304752,0
84,Fresh,0,0,0,0,0,0,0.317165,0
85,Explore,0,0,0,0,0,0,0.320643,0
86,Refine,0,0,0,0,0,0,0.497034,0
87,Block,0,0,0,0,0,0,0.340316,0
88,Shell,0,0,0,0,0,0,0.339853,0
89,Weighted,0,0,0,0,0,0,0.338141,0
90,Fresh,0,0,0,0,0,0,0.346492,0
91,Explore,0,0,0,0,0,0,0.354782,0
92,Refine,0,0,0,0,0,0,0.484276,0
93,Block,0,0,0,0,0,0,0.35048,0
94,Shell,0,0,0,0,0,0,0.363533,0
95,Weighted,0,0,0,0,0,0,0.337925,0
96,Fresh,0,0,0,0,0,0,0.338432,0
97,Explore,0,0,0,0,0,0,0.338952,0
98,Refine,0,0,0,0,0,0,0.52148,0
99,Block,0,0,0,0,0,0,0.341686,0
