object_id,family,state,length_prior_nm,length_sigma_nm,energy_prior,energy_sigma,dataset_source,coverage_count,confidence
pi_7,pi_N,crystal,1.20,0.30,-13.1,1.5,CSD/PDB/QM-derived,42,medium
pi_7,pi_N,gas,1.05,0.25,-10.8,1.2,QM-derived,18,medium
pi_7,pi_N,biological_pocket,1.35,0.40,-14.2,2.0,PDB,31,medium
pi_7,pi_N,solution,1.28,0.35,-12.9,1.8,CSD/experiment,24,low
HB_N,HB_N,crystal,0.28,0.05,-25.0,3.0,CSD/neutron,210,high
HB_N,HB_N,gas,0.30,0.06,-22.5,2.5,QM-derived,88,high
HB_N,HB_N,solution,0.32,0.07,-18.0,2.8,experiment,145,high
HB_N,HB_N,biological_pocket,0.29,0.05,-23.1,2.9,PDB,93,medium
vdW_N,vdW_N,crystal,0.40,0.10,-4.5,0.8,CSD,310,high
vdW_N,vdW_N,gas,0.38,0.09,-3.8,0.7,QM-derived,120,high
vdW_N,vdW_N,solution,0.45,0.12,-3.2,0.9,experiment,88,medium
disp_N,disp_N,crystal,0.55,0.15,-6.0,1.0,CSD/QM-derived,74,medium
disp_N,disp_N,gas,0.50,0.12,-5.2,0.9,QM-derived,52,medium
rep_N,rep_N,crystal,0.22,0.04,18.5,2.5,QM-derived,66,medium
sign_halo,sign_halo,crystal,0.35,0.08,-8.0,1.2,CSD,55,medium
sign_halo,sign_halo,gas,0.32,0.07,-7.1,1.0,QM-derived,38,medium
sigma_hole,sigma_hole,crystal,0.33,0.07,-9.5,1.4,CSD,44,medium
pi_hole,pi_hole,crystal,0.38,0.09,-7.8,1.1,CSD,29,low
metal_ligand,metal_ligand,crystal,0.22,0.05,-95.0,12.0,CSD/ICSD,180,high
metal_ligand,metal_ligand,solution,0.25,0.06,-80.0,10.0,experiment,95,high
solvation,solvation,solution,0.60,0.20,-15.0,3.5,experiment,200,medium
solvation,solvation,biological_pocket,0.65,0.22,-12.5,3.0,PDB,88,low
surface,surface,surface_adsorbed,0.80,0.25,-22.0,5.0,experiment,42,low
surface,surface,crystal,0.70,0.20,-18.5,4.0,experiment,36,low
