# Polarizability Reference Data
# =============================
# Sources:
#   Miller1990        — Miller, JACS 112, 8533 (1990)
#   Schwerdtfeger2019 — Schwerdtfeger & Nagle, Mol. Phys. 117, 1200 (2019)
#   Fraga1976         — Fraga, Karwowski & Saxena, "Handbook of Atomic Data" (1976)
#   Lide2005          — CRC Handbook of Chemistry & Physics, 86th ed. (2005)
#   NIST_2024         — NIST Atomic Spectra Database, polarizability values (2024)
#   Estimate          — Extrapolated from periodic trends; uncertainty ~25-40%
#
# This CSV is the one-time "teacher" for the alpha model.
# The shipped runtime code does NOT read this file — it uses fitted parameters.
#
# Columns:
#   Z       — atomic number
#   symbol  — element symbol
#   alpha   — static dipole polarizability (Angstrom^3, isotropic)
#   weight  — fitting weight (higher = more important to match)
#             2.0 = high-priority (common simulation elements)
#             1.0 = standard
#             0.5 = lower-priority (rare, or higher uncertainty)
#             0.3 = approximate only (radioactive, sparse experimental data)
#             0.1 = extrapolated/estimated (no reliable experimental data)
#   source  — literature reference tag
#
Z,symbol,alpha,weight,source
1,H,0.667,2.0,Miller1990
2,He,0.205,1.0,Miller1990
3,Li,24.3,1.0,Miller1990
4,Be,5.60,1.0,Miller1990
5,B,3.03,1.0,Miller1990
6,C,1.76,2.0,Miller1990
7,N,1.10,2.0,Miller1990
8,O,0.802,2.0,Miller1990
9,F,0.557,1.5,Miller1990
10,Ne,0.396,1.0,Miller1990
11,Na,24.1,1.0,Miller1990
12,Mg,10.6,1.0,Miller1990
13,Al,6.80,1.0,Miller1990
14,Si,5.38,1.5,Miller1990
15,P,3.63,1.5,Miller1990
16,S,2.90,2.0,Miller1990
17,Cl,2.18,1.5,Miller1990
18,Ar,1.64,1.0,Miller1990
19,K,43.4,1.0,Miller1990
20,Ca,22.8,1.0,Miller1990
21,Sc,17.8,0.5,Schwerdtfeger2019
22,Ti,14.6,0.5,Schwerdtfeger2019
23,V,12.4,0.5,Schwerdtfeger2019
24,Cr,11.6,0.5,Schwerdtfeger2019
25,Mn,9.4,0.5,Schwerdtfeger2019
26,Fe,8.40,1.5,Miller1990
27,Co,7.5,0.5,Schwerdtfeger2019
28,Ni,6.80,1.5,Miller1990
29,Cu,6.03,1.5,Miller1990
30,Zn,5.75,1.5,Miller1990
31,Ga,8.12,0.5,Schwerdtfeger2019
32,Ge,6.07,0.5,Schwerdtfeger2019
33,As,4.31,0.5,Schwerdtfeger2019
34,Se,3.77,0.5,Schwerdtfeger2019
35,Br,3.05,1.0,Miller1990
36,Kr,2.48,1.0,Miller1990
37,Rb,47.3,0.5,Schwerdtfeger2019
38,Sr,27.6,0.5,Schwerdtfeger2019
39,Y,22.7,0.5,Schwerdtfeger2019
