"Top","Count"
"benchmark_v2","7176"
"benchmark_100","7146"
"build_test","2921"
"fire_smooth_trace","200"
"tests","197"
"src","189"
"include","173"
"examples","127"
"apps","124"
"reports","112"
"docs","109"
"scripts","109"
"coarse_grain","76"
"atomistic","75"
"build_vs","75"
"pykernel","73"
"build_56c","35"
"runs","35"
"sim","26"
"figures","15"
"tools","15"
"chem","13"
"v5","10"
"pipeline","9"
"demo_xyz","7"
"thenewmethods","7"
"deploy","6"
"data","5"
"cpp_corpus","4"
"installer","4"
"build_check","3"
"demo_validation_output","3"
"reporting","3"
"cmake","2"
"_test_daemons","1"
".codex","1"
".github","1"
".gitignore","1"
"2026-07-19_debugging.md","1"
"assets","1"
"bead_dynamics_report_pipeline.py","1"
"build_out.txt","1"
"build-linux","1"
"build.ps1","1"
"chemistry_demo_validation.py","1"
"CLOSEOUT.md","1"
"CMakeLists.txt","1"
"CMakePresets.json","1"
"COLOUR_PILLAR_RELEASE.md","1"
"CONTRIBUTING-DEPRECATION.md","1"
"deep_research_output","1"
"draftmode_.ps1","1"
"exports","1"
"FinalChapter","1"
"five_prong_data_gen.py","1"
"five_prong_report_engine.py","1"
"fix_assoc.ps1","1"
"loop-98","1"
"MISSING_MODULES_AUDIT.md","1"
"PROBLEMS.md","1"
"pyproject - Copy.toml","1"
"QUICKBUILD.md","1"
"README.md","1"
"resources","1"
"room_reactor.vsim","1"
"STAGE.md","1"
"Temp","1"
"temporary_empirical_import.csv","1"
"test_iv21_output.json","1"
"test_iv22_output.json","1"
"test_iv23_output.json","1"
"Testing","1"
"THIRD_PARTY_ASSETS.md","1"
"TOUR.md","1"
"VIEWER_RESOLUTION.md","1"
"VSEPR","1"
"vseprw","1"
"vseprw.ps1","1"
"VSIM_EXAMPLES.md","1"
"VSIM_EXAMPLES.tex","1"
"VSIM_LANGUAGE_REFERENCE - Copy (2).md","1"
"VSIM_LANGUAGE_REFERENCE - Copy.md","1"
"VSIM_LANGUAGE_REFERENCE.md","1"
"VSIM_REFERENCE - Copy (2).md","1"
"VSIM_REFERENCE - Copy.md","1"
"wsl_build_run.sh","1"
