# seed_hash: 000000058F94930B
# sample_index: 168
# arrangement: thorium_oxalate_cold_weak
# equation: Th(NO3)4 + 2 H2C2O4 + 6 H2O -> Th(C2O4)2*6H2O(s) + 4 HNO3
# tau_drawn: 16.464
# g_steric_drawn: 0.142484
# g_elec_drawn: -0.12808
# g_disp_drawn: 0.186773
# temperature_K: 236.579
# dt_drawn: 0.447035
# N_beads: 102
# total_mass_amu: 1536.42
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.57773414,1147811706015676165672402944.00000000,122006643111767.09375000,615074962522053.25000000,0.223518,0.01140193,0.23529412,0.00000000,0.00001230,0.00091215,0.00059942,1.00000175,0.99999842,1.00000230,0,0,0,0,102,0
1,-0.57846628,0.00017385,0.03356690,0.20137093,0.111759,0.01141280,0.25490196,0.00000000,0.00001839,0.00091302,0.00029697,1.00000262,0.99999764,1.00000344,0,0,0,0,102,0
2,-0.57987907,0.00069742,0.03359713,0.20151089,0.111759,0.01143464,0.27450980,0.00000000,0.00002446,0.00091477,0.00029556,1.00000348,0.99999687,1.00000457,0,0,0,0,102,0
3,-0.58199633,0.00157671,0.03365540,0.20177654,0.111759,0.01146763,0.29411765,0.00000000,0.00003050,0.00091741,0.00029446,1.00000435,0.99999609,1.00000570,0,0,0,0,102,0
4,-0.58482565,0.00282086,0.03374049,0.20215916,0.111759,0.01151198,0.29411765,0.00000000,0.00003652,0.00092096,0.00029366,1.00000520,0.99999532,1.00000682,0,0,0,0,102,0
5,-0.58837647,0.00444122,0.03385051,0.20264521,0.111759,0.01156798,0.29411765,0.00000000,0.00004254,0.00092544,0.00029318,1.00000606,0.99999455,1.00000794,0,0,0,0,102,0
6,-0.59265973,0.00645060,0.03398275,0.20321572,0.111759,0.01163596,0.29411765,0.00000000,0.00004855,0.00093088,0.00029301,1.00000692,0.99999378,1.00000907,0,0,0,0,102,0
7,-0.59826920,0.00911426,0.03413356,0.20384533,0.122935,0.01172568,0.29411765,0.00000000,0.00005516,0.00093805,0.00032262,1.00000786,0.99999293,1.00001030,0,0,0,0,102,0
8,-0.60554800,0.01260181,0.03431635,0.20457141,0.135228,0.01184319,0.29411765,0.00000000,0.00006246,0.00094745,0.00035582,1.00000890,0.99999200,1.00001167,0,0,0,0,102,0
9,-0.61492030,0.01712501,0.03452747,0.20534077,0.148751,0.01199641,0.29411765,0.00000000,0.00007053,0.00095971,0.00039329,1.00001005,0.99999097,1.00001317,0,0,0,0,102,0
10,-0.62690593,0.02294538,0.03475327,0.20602896,0.163626,0.01219582,0.29411765,0.00000000,0.00007948,0.00097567,0.00043591,1.00001132,0.99998982,1.00001485,0,0,0,0,102,0
11,-0.64212166,0.03038005,0.03495993,0.20637657,0.179989,0.01245547,0.31372549,0.00000000,0.00008945,0.00099644,0.00048485,1.00001275,0.99998854,1.00001671,0,0,0,0,102,0
12,-0.66124513,0.03979762,0.03507381,0.20587093,0.197988,0.01279428,0.31372549,0.00000000,0.00010062,0.00102354,0.00054167,1.00001434,0.99998711,1.00001879,0,0,0,0,102,0
13,-0.68487514,0.05158364,0.03494290,0.20353029,0.217786,0.01323770,0.33333333,0.00000000,0.00011321,0.00105902,0.00060841,1.00001613,0.99998550,1.00002115,0,0,0,0,102,0
14,-0.71312593,0.06602445,0.03426329,0.20409970,0.239565,0.01381882,0.33333333,0.00000000,0.00012755,0.00110551,0.00068779,1.00001817,0.99998366,1.00002382,0,0,0,0,102,0
15,-0.74458980,0.08298246,0.03245166,0.20316778,0.263522,0.01457638,0.33333333,0.00000000,0.00014404,0.00116611,0.00078321,1.00002052,0.99998155,1.00002690,0,0,0,0,102,0
16,-0.77402505,0.10105337,0.02851579,0.19315413,0.289874,0.01554146,0.33333333,0.00000000,0.00016322,0.00124332,0.00089850,1.00002326,0.99997909,1.00003049,0,0,0,0,102,1
