# seed_hash: 00000009E366D53E
# sample_index: 28
# arrangement: thorium_oxalate_hot_mod
# equation: Th(NO3)4 + 2 H2C2O4 + 6 H2O -> Th(C2O4)2*6H2O(s) + 4 HNO3
# tau_drawn: 38.9354
# g_steric_drawn: 0.284442
# g_elec_drawn: -0.188749
# g_disp_drawn: 0.430101
# temperature_K: 574.992
# dt_drawn: 0.445002
# N_beads: 102
# total_mass_amu: 1536.42
#
step,energy,ke,rms_force,max_force,dt,avg_rho,avg_C,avg_P2,avg_eta,avg_target_f,max_deta,g_steric,g_elec,g_disp,n_inert,n_ionic,n_cov,n_met,n_mix,steady
0,-0.58204814,1137393251010348122611122176.00000000,122006643111767.09375000,615074962522053.25000000,0.222501,0.01146765,0.23529412,0.00000000,0.00000523,0.00091741,0.00025503,1.00000149,0.99999901,1.00000225,0,0,0,0,102,0
1,-0.58278495,0.00017489,0.03381226,0.20195471,0.111250,0.01147852,0.25490196,0.00000000,0.00000783,0.00091828,0.00012709,1.00000223,0.99999852,1.00000337,0,0,0,0,102,0
2,-0.58420647,0.00070156,0.03384326,0.20209870,0.111250,0.01150037,0.27450980,0.00000000,0.00001044,0.00092003,0.00012698,1.00000297,0.99999803,1.00000449,0,0,0,0,102,0
3,-0.58633683,0.00158600,0.03390302,0.20237226,0.111250,0.01153336,0.29411765,0.00000000,0.00001304,0.00092267,0.00012700,1.00000371,0.99999754,1.00000561,0,0,0,0,102,0
4,-0.58918382,0.00283734,0.03399041,0.20276720,0.111250,0.01157771,0.29411765,0.00000000,0.00001564,0.00092622,0.00012714,1.00000445,0.99999705,1.00000673,0,0,0,0,102,0
5,-0.59275715,0.00446692,0.03410361,0.20327085,0.111250,0.01163372,0.29411765,0.00000000,0.00001825,0.00093070,0.00012741,1.00000519,0.99999655,1.00000785,0,0,0,0,102,0
6,-0.59706813,0.00648760,0.03424009,0.20386534,0.111250,0.01170170,0.29411765,0.00000000,0.00002087,0.00093614,0.00012781,1.00000594,0.99999606,1.00000898,0,0,0,0,102,0
7,-0.60271495,0.00916636,0.03439636,0.20452678,0.122376,0.01179143,0.29411765,0.00000000,0.00002377,0.00094331,0.00014127,1.00000676,0.99999551,1.00001022,0,0,0,0,102,0
8,-0.61004434,0.01267418,0.03458690,0.20529933,0.134613,0.01190897,0.29411765,0.00000000,0.00002697,0.00095272,0.00015645,1.00000767,0.99999491,1.00001160,0,0,0,0,102,0
9,-0.61948597,0.01722489,0.03480910,0.20613689,0.148074,0.01206224,0.29411765,0.00000000,0.00003054,0.00096498,0.00017369,1.00000869,0.99999424,1.00001313,0,0,0,0,102,0
10,-0.63156841,0.02308332,0.03505079,0.20692515,0.162882,0.01226176,0.29411765,0.00000000,0.00003450,0.00098094,0.00019341,1.00000981,0.99999349,1.00001484,0,0,0,0,102,0
11,-0.64692292,0.03057216,0.03528020,0.20741731,0.179170,0.01252160,0.31372549,0.00000000,0.00003894,0.00100173,0.00021618,1.00001108,0.99999265,1.00001675,0,0,0,0,102,0
12,-0.66625160,0.04006964,0.03542565,0.20710863,0.197087,0.01286082,0.31372549,0.00000000,0.00004394,0.00102887,0.00024275,1.00001250,0.99999171,1.00001890,0,0,0,0,102,0
13,-0.69019237,0.05197871,0.03533397,0.20498631,0.216796,0.01330505,0.33333333,0.00000000,0.00004961,0.00106440,0.00027409,1.00001411,0.99999064,1.00002134,0,0,0,0,102,0
14,-0.71890660,0.06661711,0.03468293,0.20212073,0.238475,0.01388782,0.33333333,0.00000000,0.00005609,0.00111103,0.00031150,1.00001595,0.99998941,1.00002412,0,0,0,0,102,0
15,-0.75095271,0.08390535,0.03279411,0.19465018,0.262323,0.01464884,0.33333333,0.00000000,0.00006358,0.00117191,0.00035663,1.00001809,0.99998800,1.00002735,0,0,0,0,102,0
16,-0.78046646,0.10260240,0.02823992,0.17300317,0.288555,0.01562216,0.33333333,0.00000000,0.00007234,0.00124977,0.00041141,1.00002058,0.99998635,1.00003111,0,0,0,0,102,1
