Z,Symbol,Name,Category,DecayMode,MolarMass_g,Melting_K,Boiling_K,Binding_MeV,Fissility,Ed_eV,Ionisation_eV,Fissile,Fertile,HalfLife_s,T_K,P_atm,V_ideal_L,V_vdw_L,V_rk_L,Z_ideal,Z_vdw,Z_rk,Cv_Jmol,Cp_Jmol,gamma,v_rms_ms,v_mean_ms,c_sound_ms,MFP_m,KE_trans_J
2,He,Helium,Noble Gas,Stable,4.0026,0.0,4.2,7.07390,2.6700,2.5,24.5870,0,0,0.000e+00,1000.0,1.000,82.05737,82.08065,82.07359,1.00000,1.00028,1.00020,12.4717,20.7862,1.66667,2496.23,2299.82,1860.58,4.537e-07,2.071e-20
3,Li,Lithium,Alkali Metal,Stable,6.9410,453.7,1615.0,5.60630,3.2700,25.0,5.3920,0,1,0.000e+00,1000.0,1.000,82.05737,82.09505,80.97494,1.00000,1.00046,0.98681,12.4717,20.7862,1.66667,1895.69,1746.53,1412.96,2.653e-07,2.071e-20
4,Be,Beryllium,Alkaline Earth,Stable,9.0122,1560.0,2742.0,6.46280,4.4400,31.0,9.3230,0,1,0.000e+00,1000.0,1.000,82.05737,82.09640,77.36009,1.00000,1.00048,0.94276,12.4717,20.7862,1.66667,1663.65,1532.75,1240.01,3.912e-07,2.071e-20
5,B,Boron,Metalloid,Stable,10.8110,2348.0,4273.0,6.92770,4.0900,38.0,8.2980,0,0,0.000e+00,1000.0,1.000,82.05737,82.09706,64.35219,1.00000,1.00048,0.78423,12.4717,20.7862,1.66667,1518.95,1399.44,1132.16,2.995e-07,2.071e-20
6,C,Carbon,Nonmetal,Stable,12.0110,3800.0,4300.0,7.68010,3.0000,25.0,11.2600,0,0,0.000e+00,1000.0,1.000,82.05737,82.09730,63.95470,1.00000,1.00049,0.77939,12.4717,20.7862,1.66667,1441.08,1327.69,1074.12,2.653e-07,2.071e-20
7,N,Nitrogen,Nonmetal,Stable,14.0070,63.2,77.4,7.47560,7.0000,14.5,14.5340,0,0,0.000e+00,1000.0,1.000,82.05737,82.09744,82.06663,1.00000,1.00049,1.00011,12.4717,20.7862,1.66667,1334.46,1229.46,994.65,2.315e-07,2.071e-20
8,O,Oxygen,Nonmetal,Stable,15.9990,54.4,90.2,7.97620,8.0000,28.0,13.6180,0,0,0.000e+00,1000.0,1.000,82.05737,82.09730,82.06797,1.00000,1.00049,1.00013,12.4717,20.7862,1.66667,1248.62,1150.38,930.67,2.562e-07,2.071e-20
9,F,Fluorine,Halogen,Stable,18.9980,53.5,85.1,7.77900,9.0000,22.0,17.4220,0,0,0.000e+00,1000.0,1.000,82.05737,82.09669,82.06744,1.00000,1.00048,1.00012,12.4717,20.7862,1.66667,1145.84,1055.68,854.06,2.995e-07,2.071e-20
10,Ne,Neon,Noble Gas,Stable,20.1800,24.6,27.1,8.03250,10.0000,3.0,21.5650,0,0,0.000e+00,1000.0,1.000,82.05737,82.07189,82.06846,1.00000,1.00018,1.00014,12.4717,20.7862,1.66667,1111.78,1024.30,828.67,4.055e-07,2.071e-20
11,Na,Sodium,Alkali Metal,Stable,22.9900,371.0,1156.0,8.11170,10.9000,25.0,5.1390,0,0,0.000e+00,1000.0,1.000,82.05737,82.09532,81.65031,1.00000,1.00046,0.99504,12.4717,20.7862,1.66667,1041.62,959.66,776.38,2.366e-07,2.071e-20
12,Mg,Magnesium,Alkaline Earth,Stable,24.3050,923.0,1363.0,8.26060,12.0000,25.0,7.6460,0,0,0.000e+00,1000.0,1.000,82.05737,82.09475,81.39191,1.00000,1.00046,0.99189,12.4717,20.7862,1.66667,1013.05,933.34,755.08,2.995e-07,2.071e-20
13,Al,Aluminium,Post-Transition,Stable,26.9820,933.5,2792.0,8.33160,12.3000,25.0,5.9860,0,0,0.000e+00,1000.0,1.000,82.05737,82.09346,77.11762,1.00000,1.00044,0.93980,12.4717,20.7862,1.66667,961.48,885.83,716.65,2.995e-07,2.071e-20
