step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
0,0,5.500000,0.000000,2.000000,0.104983,0.000000,-0.026824,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00400000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01000000,-0.00200661,-0.00000000,-0.00072968
1,0,6.049835,0.000000,1.731758,0.114533,0.000000,-0.078791,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00390033,0.00000000,0.00053648,0.00000000,0.00000000,-0.01000000,-0.00207390,-0.00000000,-0.00059365
2,0,6.645330,0.000000,1.212087,0.123266,0.000000,-0.127313,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00380901,0.00000000,0.00103934,0.00000000,0.00000000,-0.01000000,-0.00214228,-0.00000000,-0.00039075
3,0,7.282494,0.000000,0.458631,0.131261,0.000000,-0.172269,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00372567,0.00000000,0.00150691,0.00000000,0.00000000,-0.01000000,-0.00219434,-0.00000000,-0.00013819
4,0,7.957941,0.000000,-0.510607,0.138670,0.000000,-0.213646,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00364911,0.00000000,0.00193848,0.00000000,0.00000000,-0.01000000,-0.00221687,-0.00000000,0.00014224
5,0,8.669194,0.000000,-1.677828,0.145682,0.000000,-0.251541,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00357749,0.00000000,0.00233444,0.00000000,0.00000000,-0.01000000,-0.00220477,-0.00000000,0.00042671
6,0,9.414765,0.000000,-3.026019,0.152483,0.000000,-0.286161,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00350886,0.00000000,0.00269638,0.00000000,0.00000000,-0.01000000,-0.00216151,-0.00000000,0.00069473
7,0,10.194020,0.000000,-4.539433,0.159215,0.000000,-0.317782,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00344149,0.00000000,0.00302683,0.00000000,0.00000000,-0.01000000,-0.00209597,-0.00000000,0.00093334
8,0,11.006913,0.000000,-6.203842,0.165969,0.000000,-0.346716,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00337421,0.00000000,0.00332882,0.00000000,0.00000000,-0.01000000,-0.00201816,-0.00000000,0.00113750
9,0,11.853707,0.000000,-8.006594,0.172784,0.000000,-0.373267,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00330641,0.00000000,0.00360550,0.00000000,0.00000000,-0.01000000,-0.00193632,-0.00000000,0.00130789
10,0,12.734753,0.000000,-9.936510,0.179664,0.000000,-0.397713,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00323791,0.00000000,0.00385983,0.00000000,0.00000000,-0.01000000,-0.00185609,-0.00000000,0.00144825
11,0,13.650345,0.000000,-11.983725,0.186589,0.000000,-0.420299,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00316882,0.00000000,0.00409443,0.00000000,0.00000000,-0.01000000,-0.00178070,-0.00000000,0.00156329
12,0,14.600640,0.000000,-14.139497,0.193528,0.000000,-0.441231,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00309941,0.00000000,0.00431154,0.00000000,0.00000000,-0.01000000,-0.00171168,-0.00000000,0.00165762
13,0,15.585628,0.000000,-16.396039,0.200449,0.000000,-0.460688,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00303002,0.00000000,0.00451309,0.00000000,0.00000000,-0.01000000,-0.00164950,-0.00000000,0.00173527
14,0,16.605129,0.000000,-18.746373,0.207318,0.000000,-0.478816,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00296100,0.00000000,0.00470067,0.00000000,0.00000000,-0.01000000,-0.00159400,-0.00000000,0.00179955
15,0,17.658805,0.000000,-21.184201,0.214105,0.000000,-0.495744,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00289265,0.00000000,0.00487566,0.00000000,0.00000000,-0.01000000,-0.00154473,-0.00000000,0.00185312
16,0,18.746179,0.000000,-23.703809,0.220785,0.000000,-0.511578,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00282525,0.00000000,0.00503922,0.00000000,0.00000000,-0.01000000,-0.00150110,-0.00000000,0.00189809
17,0,19.866656,0.000000,-26.299985,0.227337,0.000000,-0.526414,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00275905,0.00000000,0.00519235,0.00000000,0.00000000,-0.01000000,-0.00146250,-0.00000000,0.00193609
18,0,21.019547,0.000000,-28.967950,0.233743,0.000000,-0.540332,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00269422,0.00000000,0.00533593,0.00000000,0.00000000,-0.01000000,-0.00142833,-0.00000000,0.00196844
19,0,22.204086,0.000000,-31.703306,0.239990,0.000000,-0.553404,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00263092,0.00000000,0.00547071,0.00000000,0.00000000,-0.01000000,-0.00139805,-0.00000000,0.00199615
20,0,23.419446,0.000000,-34.501991,0.246067,0.000000,-0.565693,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00256928,0.00000000,0.00559737,0.00000000,0.00000000,-0.01000000,-0.00137117,-0.00000000,0.00202004
21,0,24.664759,0.000000,-37.360240,0.251968,0.000000,-0.577257,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00250937,0.00000000,0.00571650,0.00000000,0.00000000,-0.01000000,-0.00134728,-0.00000000,0.00204076
22,0,25.939124,0.000000,-40.274557,0.257686,0.000000,-0.588145,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00245127,0.00000000,0.00582864,0.00000000,0.00000000,-0.01000000,-0.00132600,-0.00000000,0.00205882
23,0,27.241621,0.000000,-43.241688,0.263219,0.000000,-0.598404,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00239501,0.00000000,0.00593426,0.00000000,0.00000000,-0.01000000,-0.00130700,-0.00000000,0.00207465
24,0,28.571319,0.000000,-46.258597,0.268566,0.000000,-0.608076,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00234061,0.00000000,0.00603382,0.00000000,0.00000000,-0.01000000,-0.00129000,-0.00000000,0.00208858
25,0,29.927281,0.000000,-49.322445,0.273726,0.000000,-0.617198,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00228808,0.00000000,0.00612770,0.00000000,0.00000000,-0.01000000,-0.00127476,-0.00000000,0.00210091
26,0,31.308576,0.000000,-52.430579,0.278700,0.000000,-0.625806,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00223741,0.00000000,0.00621627,0.00000000,0.00000000,-0.01000000,-0.00126108,-0.00000000,0.00211185
27,0,32.714280,0.000000,-55.580509,0.283490,0.000000,-0.633932,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00218859,0.00000000,0.00629986,0.00000000,0.00000000,-0.01000000,-0.00124876,-0.00000000,0.00212160
28,0,34.143479,0.000000,-58.769903,0.288100,0.000000,-0.641606,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00214160,0.00000000,0.00637879,0.00000000,0.00000000,-0.01000000,-0.00123765,-0.00000000,0.00213033
29,0,35.595277,0.000000,-61.996569,0.292532,0.000000,-0.648854,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00209640,0.00000000,0.00645333,0.00000000,0.00000000,-0.01000000,-0.00122762,-0.00000000,0.00213815
30,0,37.068795,0.000000,-65.258447,0.296790,0.000000,-0.655703,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00205296,0.00000000,0.00652376,0.00000000,0.00000000,-0.01000000,-0.00121854,-0.00000000,0.00214520
31,0,38.563173,0.000000,-68.553602,0.300878,0.000000,-0.662176,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00201124,0.00000000,0.00659031,0.00000000,0.00000000,-0.01000000,-0.00121031,-0.00000000,0.00215156
32,0,40.077575,0.000000,-71.880210,0.304801,0.000000,-0.668295,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00197120,0.00000000,0.00665322,0.00000000,0.00000000,-0.01000000,-0.00120284,-0.00000000,0.00215732
33,0,41.611185,0.000000,-75.236555,0.308564,0.000000,-0.674081,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00193278,0.00000000,0.00671269,0.00000000,0.00000000,-0.01000000,-0.00119604,-0.00000000,0.00216254
34,0,43.163215,0.000000,-78.621019,0.312171,0.000000,-0.679552,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00189594,0.00000000,0.00676893,0.00000000,0.00000000,-0.01000000,-0.00118985,-0.00000000,0.00216730
35,0,44.732896,0.000000,-82.032077,0.315627,0.000000,-0.684727,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00186064,0.00000000,0.00682212,0.00000000,0.00000000,-0.01000000,-0.00118421,-0.00000000,0.00217163
36,0,46.319488,0.000000,-85.468292,0.318938,0.000000,-0.689623,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00182682,0.00000000,0.00687243,0.00000000,0.00000000,-0.01000000,-0.00117906,-0.00000000,0.00217559
