step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
0,0,-2.606193,-2.379151,-2.450222,0.006440,-0.000118,-0.000147,1.195973,7.0000,-0.020306,0.119597,0.319796,0.005424,0.219696,1.000000,1.000000,1.000000,0.00262085,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
0,1,-2.126720,-2.084963,1.985272,0.007093,-0.000196,0.000154,1.515060,7.0000,-0.160221,0.151506,0.226519,0.004667,0.189013,1.000000,1.000000,1.000000,0.00291504,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
0,2,-2.327854,2.302918,-2.304038,0.018112,0.000122,-0.000199,1.333760,7.0000,0.025657,0.133376,0.350438,0.005973,0.241907,1.000000,1.000000,1.000000,0.00730292,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
0,3,-2.246285,2.071815,1.904684,0.017505,0.000199,0.000184,1.498748,7.0000,0.165207,0.149875,0.443471,0.007325,0.296673,1.000000,1.000000,1.000000,0.00707182,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
0,4,2.254759,-2.516172,-2.525593,0.006312,-0.000096,-0.000156,1.153880,7.0000,-0.173653,0.115388,0.217565,0.004110,0.166476,1.000000,1.000000,1.000000,0.00248383,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
0,5,2.011664,-2.242012,1.909616,0.007094,-0.000194,0.000136,1.469754,7.0000,-0.272429,0.146975,0.151714,0.003687,0.149345,1.000000,1.000000,1.000000,0.00275799,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
0,6,2.108305,2.379367,-2.009132,0.018601,0.000111,-0.000181,1.362093,7.0000,0.140610,0.136209,0.427073,0.006954,0.281641,1.000000,1.000000,1.000000,0.00737937,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
0,7,2.104938,1.984851,2.194889,0.017635,0.000171,0.000209,1.437463,7.0000,0.049322,0.143746,0.366214,0.006295,0.254980,1.000000,1.000000,1.000000,0.00698485,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
1,0,-2.541797,-2.380336,-2.451692,0.018992,-0.000347,-0.000433,1.186851,7.0000,-0.020306,0.118685,0.319796,0.010703,0.219240,1.000000,1.000000,1.000000,0.00249087,0.00000237,0.00000294,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
1,1,-2.055788,-2.086920,1.986811,0.020917,-0.000575,0.000453,1.499766,7.0000,-0.160221,0.149977,0.226519,0.009199,0.188248,1.000000,1.000000,1.000000,0.00277122,0.00000391,-0.00000308,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
1,2,-2.146730,2.304142,-2.306027,0.053438,0.000360,-0.000586,1.340485,7.0000,0.025657,0.134049,0.350438,0.011806,0.242243,1.000000,1.000000,1.000000,0.00694189,-0.00000245,0.00000398,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
1,3,-2.071238,2.073809,1.906526,0.051648,0.000589,0.000543,1.504088,7.0000,0.165207,0.150409,0.443471,0.014476,0.296940,1.000000,1.000000,1.000000,0.00672372,-0.00000399,-0.00000369,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
1,4,2.317879,-2.517136,-2.527153,0.018617,-0.000285,-0.000460,1.161198,7.0000,-0.173653,0.116120,0.217565,0.008128,0.166842,1.000000,1.000000,1.000000,0.00235662,0.00000193,0.00000312,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
1,5,2.082601,-2.243947,1.910973,0.020918,-0.000571,0.000400,1.478008,7.0000,-0.272429,0.147801,0.151714,0.007294,0.149757,1.000000,1.000000,1.000000,0.00261418,0.00000387,-0.00000272,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
1,6,2.294314,2.380480,-2.010945,0.054876,0.000327,-0.000534,1.346829,7.0000,0.140610,0.134683,0.427073,0.013717,0.280878,1.000000,1.000000,1.000000,0.00700846,-0.00000222,0.00000363,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
1,7,2.281290,1.986561,2.196981,0.052030,0.000501,0.000616,1.427300,7.0000,0.049322,0.142730,0.366214,0.012423,0.254472,1.000000,1.000000,1.000000,0.00663386,-0.00000342,-0.00000418,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
2,0,-2.416275,-2.382622,-2.454549,0.030903,-0.000555,-0.000700,1.168842,6.0000,-0.166487,0.116884,0.222342,0.014627,0.169613,1.000000,1.000000,1.000000,0.00236633,0.00000457,0.00000571,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
2,1,-1.917555,-2.090715,1.989804,0.034024,-0.000928,0.000735,1.469672,7.0000,-0.160221,0.146967,0.226519,0.013583,0.186743,1.000000,1.000000,1.000000,0.00263282,0.00000759,-0.00000599,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
