step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
0,0,-2.606193,-2.379151,-2.450222,0.006439,-0.000119,-0.000148,1.195973,7.0000,-0.020306,0.119597,0.319796,0.005424,0.219696,1.001627,0.998915,1.004339,0.00262085,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
0,1,-2.126720,-2.084963,1.985272,0.007092,-0.000197,0.000155,1.515060,7.0000,-0.160221,0.151506,0.226519,0.004667,0.189013,1.001400,0.999067,1.003733,0.00291504,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
0,2,-2.327854,2.302918,-2.304038,0.018112,0.000123,-0.000200,1.333760,7.0000,0.025657,0.133376,0.350438,0.005973,0.241907,1.001792,0.998805,1.004778,0.00730292,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
0,3,-2.246285,2.071815,1.904684,0.017504,0.000201,0.000185,1.498748,7.0000,0.165207,0.149875,0.443471,0.007325,0.296673,1.002197,0.998535,1.005860,0.00707182,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
0,4,2.254759,-2.516172,-2.525593,0.006312,-0.000097,-0.000157,1.153880,7.0000,-0.173653,0.115388,0.217565,0.004110,0.166476,1.001233,0.999178,1.003288,0.00248383,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
0,5,2.011664,-2.242012,1.909616,0.007094,-0.000194,0.000136,1.469754,7.0000,-0.272429,0.146975,0.151714,0.003687,0.149345,1.001106,0.999263,1.002950,0.00275799,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
0,6,2.108305,2.379367,-2.009132,0.018602,0.000112,-0.000182,1.362093,7.0000,0.140610,0.136209,0.427073,0.006954,0.281641,1.002086,0.998609,1.005563,0.00737937,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
0,7,2.104938,1.984851,2.194889,0.017636,0.000172,0.000211,1.437463,7.0000,0.049322,0.143746,0.366214,0.006295,0.254980,1.001889,0.998741,1.005036,0.00698485,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
1,0,-2.541801,-2.380341,-2.451699,0.018990,-0.000349,-0.000435,1.186842,7.0000,-0.020306,0.118684,0.319796,0.010703,0.219240,1.003211,0.997859,1.008563,0.00249088,0.00000238,0.00000295,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
1,1,-2.055796,-2.086931,1.986818,0.020913,-0.000580,0.000456,1.499748,7.0000,-0.160221,0.149975,0.226519,0.009199,0.188247,1.002760,0.998160,1.007359,0.00277122,0.00000394,-0.00000309,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
1,2,-2.146738,2.304148,-2.306039,0.053434,0.000363,-0.000591,1.340468,7.0000,0.025657,0.134047,0.350438,0.011806,0.242242,1.003542,0.997639,1.009445,0.00694192,-0.00000246,0.00000400,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
1,3,-2.071249,2.073820,1.906538,0.051644,0.000594,0.000547,1.504067,7.0000,0.165207,0.150407,0.443471,0.014475,0.296939,1.004343,0.997105,1.011580,0.00672375,-0.00000401,-0.00000371,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
1,4,2.317884,-2.517140,-2.527158,0.018618,-0.000287,-0.000462,1.161189,7.0000,-0.173653,0.116119,0.217565,0.008128,0.166842,1.002438,0.998374,1.006503,0.00235661,0.00000193,0.00000313,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
1,5,2.082609,-2.243957,1.910978,0.020921,-0.000574,0.000402,1.477992,7.0000,-0.272429,0.147799,0.151714,0.007294,0.149757,1.002188,0.998541,1.005835,0.00261415,0.00000389,-0.00000273,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
1,6,2.294323,2.380485,-2.010956,0.054880,0.000329,-0.000538,1.346812,7.0000,0.140610,0.134681,0.427073,0.013717,0.280877,1.004115,0.997257,1.010974,0.00700845,-0.00000224,0.00000365,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
1,7,2.281300,1.986568,2.196994,0.052035,0.000504,0.000621,1.427283,7.0000,0.049322,0.142728,0.366214,0.012423,0.254471,1.003727,0.997515,1.009938,0.00663384,-0.00000343,-0.00000421,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
2,0,-2.416294,-2.382645,-2.454576,0.030899,-0.000560,-0.000705,1.168806,6.0000,-0.166487,0.116881,0.222342,0.014627,0.169611,1.004388,0.997075,1.011702,0.00236634,0.00000461,0.00000575,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
2,1,-1.917587,-2.090759,1.989831,0.034017,-0.000938,0.000741,1.469604,7.0000,-0.160221,0.146960,0.226519,0.013583,0.186740,1.004075,0.997283,1.010866,0.00263282,0.00000766,-0.00000603,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
2,2,-1.793509,2.306546,-2.309947,0.087007,0.000589,-0.000963,1.353162,7.0000,0.025657,0.135316,0.350438,0.017511,0.242877,1.005253,0.996498,1.014009,0.00660009,-0.00000480,0.00000782,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
